id,车型,车号,终端号,经度,纬度,海拔,时间,是否库内,车次,速度,插入时间
13082,231,7041B,13928,111.8413764941,39.0940123072,1324.6071674675,2016/6/22 19:14:00,0,11,12,2016/6/22 19:13:50
13474,231,7127B,60054,111.8380449234,39.0962314114,1488.1766617317,2016/6/22 19:14:40,0,11,8,2016/6/22 19:14:51
14062,207,1098A,60718,111.834069993,39.0964170448,1325.1520892074,2016/6/22 19:16:06,0,11,0,2016/6/22 19:15:51
14966,231,7041A,15222,111.8468363735,39.0921280267,1322.7819681158,2016/6/22 19:18:12,0,11,0,2016/6/22 19:18:21
14980,231,7041B,13928,111.8469263938,39.0919066108,1291.2422387945,2016/6/22 19:18:16,0,11,0,2016/6/22 19:18:21
15008,231,7088A,60282,111.8470040012,39.0919655377,1292.3231150359,2016/6/22 19:18:16,0,11,0,2016/6/22 19:18:21
15293,231,7127B,60054,111.8292710729,39.0949171365,936.9845230691,2016/6/22 19:18:57,0,11,0,2016/6/22 19:18:51
7042,104,7583,10154,111.3019719431,39.0180413992,1132.7620096747,2016/6/22 18:52:21,0,13,0,2016/6/22 18:59:18
7053,104,7583,10154,111.292249718,39.0077198892,1115.98331152,2016/6/22 18:56:37,0,13,0,2016/6/22 18:59:18
7117,225,75B,10224,111.2109255195,38.9441903773,1017.8302772651,2016/6/22 18:59:32,0,13,0,2016/6/22 18:59:18
7153,207,6212B,10536,111.2970425057,39.0139964987,1125.7387699056,2016/6/22 18:53:46,0,13,0,2016/6/22 18:59:48
7158,207,657B,11490,110.9742474703,39.0615114099,859.5447104713,2016/6/22 18:59:38,0,13,0,2016/6/22 18:59:48
7162,207,6212B,10536,111.2921567782,39.0017479299,1107.0351346918,2016/6/22 18:58:02,0,13,0,2016/6/22 18:59:48
7228,225,76B,13638,111.209285767,38.9429961651,1012.2754389998,2016/6/22 18:59:50,0,13,0,2016/6/22 18:59:48
7245,225,78A,11418,112.0344147716,39.0513363823,1399.7043023845,2016/6/22 18:59:52,0,13,0,2016/6/22 18:59:48
7275,225,10A,10912,112.158350396,39.0672698191,1513.5126482267,2016/6/22 18:59:55,0,13,0,2016/6/22 18:59:48
7429,231,7022A,13952,112.1959223416,39.0783540126,1524.4492124459,2016/6/22 19:00:20,0,13,25,2016/6/22 19:00:18
7531,225,73B,10052,110.3216637899,39.1830009973,1025.8007651139,2016/6/22 19:00:36,0,13,0,2016/6/22 19:00:48
7574,225,74A,10112,110.3216131117,39.1830906467,1026.2503431812,2016/6/22 19:00:41,0,13,0,2016/6/22 19:00:48
7602,231,7099B,60046,112.1714844322,39.0681327083,1515.1576470602,2016/6/22 19:00:47,0,13,0,2016/6/22 19:00:48
7612,207,654A,60460,112.1389733402,39.0603026699,1493.1197035611,2016/6/22 19:00:50,0,13,0,2016/6/22 19:00:48
7617,104,7583,10154,111.2852928684,38.9801448173,1100.50712163,2016/6/22 19:00:51,0,13,0,2016/6/22 19:00:48
7700,207,828B,60716,110.5245703978,39.0457773614,1072.873708861,2016/6/22 19:00:07,0,13,0,2016/6/22 19:01:18
7848,231,7118A,60042,111.1111103873,38.9455201081,910.7804820007,2016/6/22 19:01:28,0,13,0,2016/6/22 19:01:18
8011,207,1155B,10534,111.7030853873,39.1185595392,1297.8494439134,2016/6/22 19:01:51,0,13,0,2016/6/22 19:01:48
8130,231,7127A,60084,111.8306032913,39.0974993307,1326.6785350367,2016/6/22 19:02:12,0,13,0,2016/6/22 19:02:18
8132,207,1154B,10446,111.7017005995,39.1198099389,1292.3961151531,2016/6/22 19:02:10,0,13,0,2016/6/22 19:02:18
